1.000000000000000000e+01,5.629104938271604297e+00
6.000000000000000000e+00,5.626438271604937036e+00
1.000000000000000000e+00,1.604642857142855927e+00
8.000000000000000000e+00,5.628635802469134752e+00
2.000000000000000000e+00,4.607488207547168813e+00
6.000000000000000000e+00,5.626438271604937036e+00
4.000000000000000000e+00,5.617555418719211602e+00
3.000000000000000000e+00,5.609464285714285126e+00
5.000000000000000000e+00,5.624154320987653222e+00
8.000000000000000000e+00,5.628635802469134752e+00
8.000000000000000000e+00,5.628635802469134752e+00
9.000000000000000000e+00,5.628666666666665819e+00
9.000000000000000000e+00,5.628666666666665819e+00
7.000000000000000000e+00,5.627814814814813715e+00
1.200000000000000000e+01,5.629308641975307559e+00
6.000000000000000000e+00,5.626438271604937036e+00
1.300000000000000000e+01,5.629370370370369692e+00
4.000000000000000000e+00,5.617555418719211602e+00
4.000000000000000000e+00,5.617555418719211602e+00
1.000000000000000000e+00,1.604642857142855927e+00
9.000000000000000000e+00,5.628666666666665819e+00
4.000000000000000000e+00,5.617555418719211602e+00
7.000000000000000000e+00,5.627814814814813715e+00
1.100000000000000000e+01,5.629271604938271167e+00
6.000000000000000000e+00,5.626438271604937036e+00
